daxing_stationId,daxing_utc_time,daxing_PM2.5,daxing_PM10,daxing_NO2,daxing_CO,daxing_O3,daxing_SO2,daxing_temperature,daxing_pressure,daxing_humidity,daxing_wind_direction,daxing_wind_speed,fangshan_stationId,fangshan_utc_time,fangshan_PM2.5,fangshan_PM10,fangshan_NO2,fangshan_CO,fangshan_O3,fangshan_SO2,fangshan_temperature,fangshan_pressure,fangshan_humidity,fangshan_wind_direction,fangshan_wind_speed,huairou_stationId,huairou_utc_time,huairou_PM2.5,huairou_PM10,huairou_NO2,huairou_CO,huairou_O3,huairou_SO2,huairou_temperature,huairou_pressure,huairou_humidity,huairou_wind_direction,huairou_wind_speed,mentougou_stationId,mentougou_utc_time,mentougou_PM2.5,mentougou_PM10,mentougou_NO2,mentougou_CO,mentougou_O3,mentougou_SO2,mentougou_temperature,mentougou_pressure,mentougou_humidity,mentougou_wind_direction,mentougou_wind_speed,miyun_stationId,miyun_utc_time,miyun_PM2.5,miyun_PM10,miyun_NO2,miyun_CO,miyun_O3,miyun_SO2,miyun_temperature,miyun_pressure,miyun_humidity,miyun_wind_direction,miyun_wind_speed,pingchang_stationId,pingchang_utc_time,pingchang_PM2.5,pingchang_PM10,pingchang_NO2,pingchang_CO,pingchang_O3,pingchang_SO2,pingchang_temperature,pingchang_pressure,pingchang_humidity,pingchang_wind_direction,pingchang_wind_speed,pinggu_stationId,pinggu_utc_time,pinggu_PM2.5,pinggu_PM10,pinggu_NO2,pinggu_CO,pinggu_O3,pinggu_SO2,pinggu_temperature,pinggu_pressure,pinggu_humidity,pinggu_wind_direction,pinggu_wind_speed,shunyi_stationId,shunyi_utc_time,shunyi_PM2.5,shunyi_PM10,shunyi_NO2,shunyi_CO,shunyi_O3,shunyi_SO2,shunyi_temperature,shunyi_pressure,shunyi_humidity,shunyi_wind_direction,shunyi_wind_speed,tongzhou_stationId,tongzhou_utc_time,tongzhou_PM2.5,tongzhou_PM10,tongzhou_NO2,tongzhou_CO,tongzhou_O3,tongzhou_SO2,tongzhou_temperature,tongzhou_pressure,tongzhou_humidity,tongzhou_wind_direction,tongzhou_wind_speed
daxing,2017-01-30 16:00:00,109.0,120.0,30.0,1.3,46.0,36.0,-2.2,1027.7,15.0,226.0,2.3,fangshan,2017-01-30 16:00:00,114.0,119.0,35.0,1.5,48.0,35.0,-2.6,1026.1,14.0,215.0,3.3,huairou,2017-01-30 16:00:00,45.0,53.0,29.0,1.2,24.0,13.0,-5.2,1022.8,27.0,30.0,0.8,mentougou,2017-01-30 16:00:00,102.0,122.0,36.0,0.1,46.0,27.0,-2.7,1021.4,17.0,203.0,1.8,miyun,2017-01-30 16:00:00,79.0,53.0,42.0,1.9,17.0,21.0,-6.6,1023.3,28.0,999017.0,0.2,pingchang,2017-01-30 16:00:00,55.0,,21.0,1.1,48.0,15.0,-3.0,1022.5,17.0,108.0,1.1,pinggu,2017-01-30 16:00:00,54.0,,23.0,1.3,38.0,14.0,-6.0,1029.0,29.0,114.0,1.0,shunyi,2017-01-30 16:00:00,94.0,104.0,42.0,0.2,44.0,27.0,-1.7,1028.7,15.0,215.0,1.6,tongzhou,2017-01-30 16:00:00,71.0,,32.0,1.1,57.0,16.0,-3.0,1030.1,16.0,205.0,1.8
daxing,2017-01-30 17:00:00,117.0,128.0,32.0,1.4,42.0,50.0,-2.3,1027.3,16.0,227.0,2.3,fangshan,2017-01-30 17:00:00,116.0,120.0,30.0,1.5,52.0,31.0,-2.7,1025.8,15.0,217.0,3.5,huairou,2017-01-30 17:00:00,47.0,51.0,20.0,1.3,29.0,11.0,-5.3,1022.4,31.0,25.0,0.6,mentougou,2017-01-30 17:00:00,127.0,135.0,36.0,1.3,40.0,32.0,-3.2,1021.2,19.0,233.0,1.4,miyun,2017-01-30 17:00:00,71.0,74.0,36.0,1.9,20.0,21.0,-6.6,1022.9,29.0,71.0,0.4,pingchang,2017-01-30 17:00:00,65.0,,17.0,1.4,37.0,16.0,-3.5,1022.3,19.0,326.0,1.0,pinggu,2017-01-30 17:00:00,50.0,,24.0,1.4,36.0,13.0,-6.0,1028.6,31.0,83.0,1.4,shunyi,2017-01-30 17:00:00,136.0,,52.0,3.1,28.0,37.0,-3.5,1028.4,24.0,16.0,1.0,tongzhou,2017-01-30 17:00:00,72.0,,23.0,1.1,66.0,19.0,-3.4,1029.8,18.0,181.0,1.5
daxing,2017-01-30 18:00:00,119.0,125.0,31.0,1.5,41.0,55.0,-3.0,1026.9,18.0,216.0,1.9,fangshan,2017-01-30 18:00:00,117.0,,27.0,1.5,51.0,28.0,-2.8,1025.6,17.0,228.0,3.2,huairou,2017-01-30 18:00:00,50.0,56.0,18.0,1.1,25.0,11.0,-5.3,1022.3,31.0,273.0,0.3,mentougou,2017-01-30 18:00:00,123.0,,38.0,1.5,33.0,32.0,-3.6,1020.9,19.0,189.0,0.9,miyun,2017-01-30 18:00:00,75.0,80.0,36.0,1.8,16.0,18.0,-6.6,1022.8,32.0,84.0,0.5,pingchang,2017-01-30 18:00:00,64.0,,11.0,0.8,21.0,19.0,-3.5,1022.0,19.0,337.0,0.8,pinggu,2017-01-30 18:00:00,63.0,,22.0,1.6,38.0,15.0,-6.1,1028.4,34.0,97.0,1.0,shunyi,2017-01-30 18:00:00,112.0,,43.0,2.5,31.0,26.0,-3.7,1028.1,27.0,32.0,1.1,tongzhou,2017-01-30 18:00:00,83.0,,25.0,1.2,62.0,25.0,-4.8,1029.5,21.0,174.0,1.1
daxing,2017-01-30 19:00:00,124.0,129.0,33.0,1.6,35.0,49.0,-2.5,1026.4,17.0,224.0,2.1,fangshan,2017-01-30 19:00:00,118.0,,26.0,1.3,50.0,28.0,-2.8,1025.0,18.0,228.0,1.8,huairou,2017-01-30 19:00:00,49.0,56.0,20.0,1.3,23.0,10.0,-5.3,1021.6,32.0,338.0,1.1,mentougou,2017-01-30 19:00:00,91.0,,27.0,1.5,38.0,23.0,-3.7,1020.3,21.0,216.0,1.8,miyun,2017-01-30 19:00:00,76.0,56.0,35.0,1.9,15.0,14.0,-6.7,1022.1,33.0,59.0,0.9,pingchang,2017-01-30 19:00:00,55.0,,13.0,0.7,24.0,12.0,-3.6,1021.5,20.0,316.0,1.1,pinggu,2017-01-30 19:00:00,56.0,,19.0,0.1,40.0,17.0,-6.3,1027.7,36.0,82.0,1.2,shunyi,2017-01-30 19:00:00,110.0,,42.0,2.7,26.0,26.0,-3.9,1027.6,27.0,21.0,0.9,tongzhou,2017-01-30 19:00:00,95.0,,25.0,1.1,58.0,28.0,-5.1,1029.0,22.0,176.0,1.2
daxing,2017-01-30 20:00:00,121.0,,32.0,1.6,,38.0,-3.0,1025.4,19.0,207.0,1.0,fangshan,2017-01-30 20:00:00,118.0,,26.0,1.4,,29.0,-3.1,1024.1,17.0,209.0,2.4,huairou,2017-01-30 20:00:00,44.0,46.0,18.0,1.1,31.0,9.0,-5.7,1020.8,36.0,308.0,1.7,mentougou,2017-01-30 20:00:00,78.0,,23.0,1.8,,21.0,-4.1,1019.5,23.0,200.0,0.9,miyun,2017-01-30 20:00:00,64.0,46.0,35.0,1.8,31.0,13.0,-7.3,1021.3,38.0,46.0,0.7,pingchang,2017-01-30 20:00:00,44.0,46.0,16.0,0.4,,8.0,-3.5,1020.8,21.0,25.0,0.8,pinggu,2017-01-30 20:00:00,58.0,,20.0,1.2,,18.0,-6.0,1026.7,35.0,90.0,1.1,shunyi,2017-01-30 20:00:00,112.0,,43.0,2.9,,27.0,-4.1,1026.7,26.0,17.0,1.1,tongzhou,2017-01-30 20:00:00,98.0,,32.0,1.2,,29.0,-5.0,1027.8,25.0,159.0,1.3
daxing,2017-01-30 21:00:00,122.0,,26.0,1.6,36.0,30.0,-3.1,1025.2,20.0,211.0,1.4,fangshan,2017-01-30 21:00:00,106.0,,24.0,1.3,46.0,28.0,-3.9,1023.9,19.0,216.0,1.7,huairou,2017-01-30 21:00:00,43.0,46.0,,1.2,29.0,9.0,-6.0,1020.1,37.0,307.0,1.5,mentougou,2017-01-30 21:00:00,69.0,,22.0,1.4,44.0,19.0,-4.6,1019.1,27.0,999017.0,0.2,miyun,2017-01-30 21:00:00,59.0,63.0,49.0,1.8,17.0,13.0,-7.7,1020.7,42.0,111.0,0.8,pingchang,2017-01-30 21:00:00,48.0,,39.0,0.8,16.0,16.0,-3.4,1020.1,21.0,326.0,0.7,pinggu,2017-01-30 21:00:00,61.0,,26.0,1.3,34.0,17.0,-7.0,1026.1,37.0,65.0,1.1,shunyi,2017-01-30 21:00:00,108.0,,38.0,2.7,24.0,27.0,-4.2,1026.1,28.0,68.0,0.9,tongzhou,2017-01-30 21:00:00,106.0,,34.0,1.4,38.0,28.0,-5.3,1027.5,25.0,194.0,0.8
daxing,2017-01-30 22:00:00,122.0,123.0,29.0,1.8,31.0,28.0,-4.6,1024.6,23.0,234.0,0.7,fangshan,2017-01-30 22:00:00,110.0,,33.0,1.4,35.0,37.0,-4.7,1023.2,23.0,233.0,0.4,huairou,2017-01-30 22:00:00,43.0,48.0,17.0,1.1,31.0,9.0,-6.2,1019.8,31.0,323.0,0.9,mentougou,2017-01-30 22:00:00,60.0,63.0,26.0,1.3,42.0,23.0,-4.5,1018.7,28.0,248.0,0.8,miyun,2017-01-30 22:00:00,54.0,48.0,29.0,1.6,21.0,13.0,-8.3,1020.4,47.0,103.0,0.5,pingchang,2017-01-30 22:00:00,40.0,41.0,29.0,0.9,32.0,23.0,-3.6,1019.7,20.0,334.0,0.6,pinggu,2017-01-30 22:00:00,70.0,,31.0,1.7,32.0,22.0,-6.3,1025.7,33.0,120.0,0.8,shunyi,2017-01-30 22:00:00,99.0,,38.0,2.6,19.0,24.0,-4.0,1025.7,27.0,329.0,1.1,tongzhou,2017-01-30 22:00:00,117.0,,37.0,1.5,36.0,32.0,-5.6,1026.9,26.0,192.0,0.6
daxing,2017-01-30 23:00:00,126.0,126.0,39.0,1.8,21.0,29.0,-5.6,1024.6,27.0,217.0,1.0,fangshan,2017-01-30 23:00:00,122.0,125.0,58.0,1.9,12.0,38.0,-6.0,1023.4,29.0,999017.0,0.0,huairou,2017-01-30 23:00:00,46.0,53.0,22.0,1.3,23.0,10.0,-6.9,1019.7,37.0,109.0,0.5,mentougou,2017-01-30 23:00:00,70.0,78.0,33.0,1.5,32.0,28.0,-4.8,1018.8,30.0,268.0,0.8,miyun,2017-01-30 23:00:00,52.0,53.0,30.0,1.5,18.0,11.0,-8.6,1020.4,53.0,118.0,1.2,pingchang,2017-01-30 23:00:00,60.0,76.0,45.0,1.4,20.0,42.0,-4.0,1019.8,23.0,255.0,0.6,pinggu,2017-01-30 23:00:00,74.0,,40.0,1.8,22.0,22.0,-7.2,1025.7,42.0,92.0,0.9,shunyi,2017-01-30 23:00:00,106.0,,40.0,2.8,18.0,29.0,-4.7,1025.9,29.0,28.0,0.7,tongzhou,2017-01-30 23:00:00,118.0,,42.0,1.6,28.0,32.0,-6.1,1027.0,29.0,205.0,0.8
daxing,2017-01-31 00:00:00,,,,,,,-6.7,1025.0,30.0,219.0,0.5,fangshan,2017-01-31 00:00:00,134.0,,60.0,2.1,9.0,39.0,-6.4,1023.6,28.0,999017.0,0.0,huairou,2017-01-31 00:00:00,53.0,69.0,31.0,1.4,13.0,10.0,-7.7,1020.0,51.0,325.0,0.7,mentougou,2017-01-31 00:00:00,78.0,87.0,43.0,1.8,19.0,32.0,-5.2,1018.9,33.0,245.0,0.5,miyun,2017-01-31 00:00:00,52.0,62.0,30.0,1.3,17.0,10.0,-8.5,1020.6,59.0,131.0,1.3,pingchang,2017-01-31 00:00:00,79.0,95.0,61.0,2.3,6.0,40.0,-4.5,1020.1,27.0,213.0,0.6,pinggu,2017-01-31 00:00:00,79.0,85.0,44.0,1.9,20.0,23.0,-8.3,1025.8,47.0,78.0,0.6,shunyi,2017-01-31 00:00:00,102.0,,40.0,2.8,18.0,27.0,-4.9,1026.1,28.0,17.0,1.2,tongzhou,2017-01-31 00:00:00,122.0,,48.0,1.7,22.0,36.0,-6.0,1027.1,32.0,184.0,1.8
daxing,2017-01-31 01:00:00,,,,,,,-2.9,1025.0,23.0,238.0,1.4,fangshan,2017-01-31 01:00:00,137.0,,57.0,0.2,13.0,46.0,-3.4,1023.7,26.0,999017.0,0.0,huairou,2017-01-31 01:00:00,67.0,80.0,32.0,1.7,14.0,15.0,-5.9,1020.1,36.0,307.0,0.5,mentougou,2017-01-31 01:00:00,71.0,,35.0,1.6,27.0,29.0,-3.6,1018.9,29.0,253.0,0.5,miyun,2017-01-31 01:00:00,60.0,80.0,29.0,1.5,20.0,14.0,-5.3,1020.8,47.0,85.0,1.2,pingchang,2017-01-31 01:00:00,79.0,,53.0,0.2,15.0,55.0,-2.8,1020.0,21.0,342.0,1.1,pinggu,2017-01-31 01:00:00,95.0,114.0,47.0,2.2,22.0,30.0,-5.9,1025.9,36.0,348.0,0.7,shunyi,2017-01-31 01:00:00,102.0,,38.0,2.7,25.0,25.0,-3.6,1026.2,28.0,29.0,1.1,tongzhou,2017-01-31 01:00:00,134.0,,50.0,1.9,22.0,39.0,-3.9,1027.1,27.0,242.0,0.7
